จังหวัด,รายชื่อวัด
ประจวบคีรีขันธ์,วัดสาเก
,วัดมาลัยทับใต้
,วัดเกาะหลัก
,วัดหนองตาเสือ
,วัดเกาะยายฉิม
,วัดธรรมรังสี
,วัดถ้ำเขาเต่า
,วัดหนองขาม
,วัดนาล้อม
,วัดห้วยสามพันนาม
,วัดดอนสง่า
,วัดอ่าวน้อย
,วัดเขาโบสถ์
,วัดเฉลิมประดิษฐาราม
,วัดทุ่งพุฒิ
,วัดดอนยายหนู
,วัดมะเดื่อทอง
,วัดชัยภูมิ
,วัดทุ่งประดู่
,วัดรอดประดิษฐ์
,วัดเวรุวัน
,วัดทองอินทร์
,วัดห้วยทรายขาว
,วัดพุทธไชโย
,วัดคั่นกระได
,วัดปากคลองเกลียว
,วัดหน้าเขาโป่งเหนือ
,วัดเฉลิมราษฎร์
,วัดเพชรราวุช
,วัดทุ่งกระถิน
,วัดสิทธิสังฆาราม
,วัดเนินดินแดง
,วัดนาหนอง
,วัดราษฎร์ประสงค์
,วัดทุ่งน้อย
,วัดใหม่ลาดวิถี
,วัดบ่อนอก
,วัดทองมงคล
,วัดนาผักขวง
,วัดสามขุม
,วัดเขาตะเกียบ
,วัดเขาดิน
,วัดหนองไผ่
,วัดอุดมพลาราม
,วัดห้วยไก่ต่อ
,วัดเขาตะล่อม
,วัดนาหูกวาง
,วัดคีรีวงศาราม
,วัดหนองหินประชาราม
,วัดนิคมคณาราม
,วัดนาห้วย
,วัดสุมนาวาส
,วัดห้วยสัก
,วัดธรรมรัตน์
,วัดอู่ตะเภา
,วัดสองกะลอนประชาสรรค์
,วัดหนองแก
,วัดดอนยาง
,วัดดอนใจดี
,วัดทุ่งยาว
,วัดดงไม้งาม
,วัดวิเวกสันติธรรม
,วัดบรรพตาเรืองราม 
,วัดห้วยไทรงาม
,วัดสมอโพรง
,วัดเขาใหญ่อรุณบุญยราษฎร์
,วัดบ้านใหม่
,วัดปากคลองปราณ
,วัดบ่อฝ้าย
,วัดเกตุชยาราม
,วัดบ่อกบ 
,วัดกลางไชยราช 
,วัดเขาแดง
,วัดบ้านหนองแก
,วัดประชาสนธิ
,วัดหัวหิน
,วัดรังษีนิมิต
,วัดแหลมเจ้าสัว
,วัดพระราชพรหมยาน 
,วัดไร่ใน
,วัดทางสาย
,วัดน้ำตกเขาโพธิ์ 
,วัดหนองพังพวย
,วัดเขาลั่นทม
,วัดหนองตะเภา
,วัดเขาสนามชัย
,วัดบ้านท่ามะนาว
,วัดพุ
,วัดสุขสำราญ
,วัดมรสวบ
,วัดนิคมประชาสรรค์
,วัดธรรมวารีศรีรัตนาราม
,วัดหนองจอก
,วัดห้วยมงคล
,วัดเขากะจิ
,วัดหนองยายอ่วม
,วัดสุวรรณาราม
,วัดสุมททาราม
,วัดสำโหรง
,วัดเขาโปร่งใต้
,วัดหนองคล้า
,วัดปราณบุรี
,วัดเขาไกรลาศ
,วัดหนองมงคล
,วัดเขาราษฎร์บำรุง
,วัดสามร้อยยอด
,วัดสี่แยก
,วัดหนองพรานพุก
,วัดกุยเหนือ
,วัดห้วยเจริญ
,วัดทุ่งมะเม่า
,วัดเขาลักจันทร์
,วัดห้วยลึก
,วัดกำมะเสน
,วัดเขาถ้ำม้าร้อง
,วัดสีดางาม
,วัดคลองชายธง
,วัดเกษตรกันทราราม
,วัดถ้ำเขาน้อย
,วัดดอนตะเคียน
,วัดป่าวไล
,วัดวังน้ำเขียว
,วัดคอกอ้ายเผือก 
,วัดหาดขาม
,วัดป่าสมสงัด
,วัดทุ่งกลาง
,วัดละหาน
,วัดนิคมราษฎร์รังสรรค์
,วัดวิบูลธรรมาวาส
,วัดโป่งโก
,วัดทุ่งมะพร้าว
,วัดเขาน้อย
,วัดเขานกกระจิบ
,วัดนันทาวราราม
,วัดหนองกุ่ม
,วัดหนองซอ
,วัดเขาถ้ำคีรีวง
,วัดวังก์พง
,วัดน้ำโจน
,วัดประชาราษฎร์
,วัดสะพานขี้เหล็ก
,วัดดอนทราย
,วัดเขาบ้านกลาง
,วัดรักดีคีรีวัน
,วัดธงชัยธรรมจักร
,วัดดอนอารีย์
,วัดอรัญญิกาวาส
,วัดหนองปรือ
,วัดคลองวาฬ
,วัดอ่างสุวรรณ
,วัดพรหมรังษี
,วัดหินกอง
,วัดหนองจันทร์
,วัดตะแบกโพรง
,วัดไร่เนิน(เขาโบสถ์
,วัดหนองโปร่ง
,วัดดอนมะกอก
,วัดบางเบิด
,วัดกุยบุรี
,วัดหนองหญ้าปล้อง
,วัดไร่ใหม่สามัคคี
,วัดท่าม่วง
,วัดวังยาว
,วัดหนองพลับ
,วัดหนองบัว
,วัดอานันท์
,วัดทับสะแก
,วัดสามกระทาย
,วัดบางแพ
,วัดวังยาง
,วัดบ่อทองหลาง
,วัดชะม่วง
,วัดหุบตาโคตร
,วัดเหียงปม
,วัดธรรมิการามวรวิหาร
,วัดคลองน้ำเค็ม
,วัดยางชุม
,วัดทุ่งเคล็ดสามัคคีธรรม
,วัดอ่างทอง
,วัดหนองยิงหมี
,วัดดอนสำราญ
,วัดเขาอิติสุคโต
,วัดหนองขอน
,วัดด่านสิงขร
,วัดปากแพรก
,วัดไกลกังวล
,วัดห้วยยาง
,วัดศาลาลัย
,วัดเขาน้อย 
,วัดถ้ำดาวราย
,วัดบุษยบรรพต
,วัดบางเจริญ 
,วัดละเมาะ
,วัดศรีรัชดาราม
,วัดวังมะเดื่อ
,วัดนิคมสามัคคี
,วัดธรรมประชาราม
,วัดบางปู
,วัดหนองข้าวเหนียว
